dun_code,dun_name,registered_voters,total_votes_cast,turnout_pct,majority_votes,source
N.01,Banggi,9484,5544,58.46,1306,astro_awani_screenshot
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot
N.05,Matunggong,29176,19249,65.98,334,astro_awani_screenshot
N.08,Pintasan,15896,11891,74.8,1070,astro_awani_screenshot
N.10,Usukan,24235,17649,72.82,442,pru_astroawani_pdf
N.11,Kadamaian,26240,18259,69.58,9672,pru_astroawani_pdf
N.14,Tamparuli,26767,18383,68.68,2556,astro_awani_screenshot
N.16,Karambunai,39247,25676,65.42,365,pru_astroawani_pdf
N.18,Inanam,45525,28190,61.92,2952,astro_awani_screenshot
N.19,Likas,19100,10243,53.63,2425,pru_astroawani_pdf
N.23,Petagas,20116,13393,66.58,1255,astro_awani_screenshot
N.25,Kapayan,49597,28938,58.35,9256,pru_astroawani_pdf
N.28,Kawang,23823,17720,74.38,8763,astro_awani_screenshot
N.32,Klias,22277,15193,68.2,1643,astro_awani_screenshot
N.35,Sindumin,25536,15843,62.04,362,astro_awani_screenshot
N.38,Paginatan,26881,18357,68.29,736,astro_awani_screenshot
N.39,Tambunan,29187,19144,65.59,7311,pru_astroawani_pdf
N.41,Liawan,32661,20759,63.56,643,astro_awani_screenshot
N.42,Melalap,21320,14983,70.28,525,pru_astroawani_pdf
N.44,Tulid,16551,11620,70.21,1195,astro_awani_screenshot
N.45,Sook,20349,14347,70.5,4727,astro_awani_screenshot
N.47,Telupid,14965,10284,68.72,1011,astro_awani_screenshot
N.49,Labuk,14564,9102,62.5,979,pru_astroawani_pdf
N.51,Sungai Manila,18217,11478,63.01,1260,astro_awani_screenshot
N.55,Elopura,39004,19089,48.94,3375,pru_astroawani_pdf
N.56,Tanjong Papat,16767,9259,55.22,727,astro_awani_screenshot
N.57,Kuamut,21264,12835,60.36,457,pru_astroawani_pdf
N.58,Lamag,13859,9984,72.04,153,astro_awani_screenshot
N.59,Sukau,16541,11258,68.06,1234,astro_awani_screenshot
N.61,Segama,29840,17190,57.61,4058,astro_awani_screenshot
N.63,Kunak,24854,14429,58.06,2118,astro_awani_screenshot
N.65,Senallang,20763,10992,52.94,6837,pru_astroawani_pdf
N.66,Bugaya,36569,19838,54.25,10046,astro_awani_screenshot
N.69,Sri Tanjong,37327,18584,49.79,3113,pru_astroawani_pdf
N.70,Kukusan,19225,11059,57.52,650,astro_awani_screenshot
N.72,Merotai,26179,15213,58.11,4016,pru_astroawani_pdf
