dun_code,dun_name,registered_voters,total_votes_cast,turnout_pct,majority_votes,source,candidate_name,party,votes,vote_share_pct
N.01,Banggi,9484,5544,58.46,1306,astro_awani_screenshot,,,,
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,HARUN DURABI,BN,2485.0,20.96
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,SAMUIL MOPUN,GRS,2408.0,20.31
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,MAKLIN MASIAU,STARSABAH,1899.0,16.02
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,RAHIM @ RICHARD MAZAGI,KDM,1528.0,12.89
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,FAUZIAH MOHD FUAD STEPHENS,WARISAN,1290.0,10.88
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,JOMIN MOGOMPIT,BEBAS,1084.0,9.14
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,JUNSIM RUMUNZING,UPKO,622.0,5.25
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,BERUSLI KIMIN,PN,310.0,2.61
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,MATIN UGUNG,PIS,183.0,1.54
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,GUNSANAD MALINGKA,PBK,26.0,0.22
N.02,Bengkoka,18056,11856,65.66,77,astro_awani_screenshot,KPD ODING,BEBAS,21.0,0.18
N.05,Matunggong,29176,19249,65.98,334,astro_awani_screenshot,,,,
N.08,Pintasan,15896,11891,74.8,1070,astro_awani_screenshot,,,,
N.10,Usukan,24235,17649,72.82,442,pru_astroawani_pdf,,,,
N.11,Kadamaian,26240,18259,69.58,9672,pru_astroawani_pdf,,,,
N.14,Tamparuli,26767,18383,68.68,2556,astro_awani_screenshot,,,,
N.16,Karambunai,39247,25676,65.42,365,pru_astroawani_pdf,,,,
N.18,Inanam,45525,28190,61.92,2952,astro_awani_screenshot,,,,
N.19,Likas,19100,10243,53.63,2425,pru_astroawani_pdf,,,,
N.23,Petagas,20116,13393,66.58,1255,astro_awani_screenshot,,,,
N.25,Kapayan,49597,28938,58.35,9256,pru_astroawani_pdf,,,,
N.28,Kawang,23823,17720,74.38,8763,astro_awani_screenshot,,,,
N.32,Klias,22277,15193,68.2,1643,astro_awani_screenshot,,,,
N.35,Sindumin,25536,15843,62.04,362,astro_awani_screenshot,,,,
N.38,Paginatan,26881,18357,68.29,736,astro_awani_screenshot,,,,
N.39,Tambunan,29187,19144,65.59,7311,pru_astroawani_pdf,,,,
N.41,Liawan,32661,20759,63.56,643,astro_awani_screenshot,NIK MOHD NADZRI NIK ZAWAWI,BN,5882.0,28.33
N.41,Liawan,32661,20759,63.56,643,astro_awani_screenshot,ANNUAR AYUB @ BANAND,GRS,5239.0,25.24
N.41,Liawan,32661,20759,63.56,643,astro_awani_screenshot,ADZHAR JASNI @ EDDY,WARISAN,4142.0,19.95
N.41,Liawan,32661,20759,63.56,643,astro_awani_screenshot,AUGUSTINE A.NAIN,STARSABAH,3899.0,18.78
N.41,Liawan,32661,20759,63.56,643,astro_awani_screenshot,WILSON GAN,UPKO,658.0,3.17
N.41,Liawan,32661,20759,63.56,643,astro_awani_screenshot,PETER PAUN,KDM,501.0,2.41
